idx,original,paraphrased
11,ยิ่งโสดยิ่งสวยเซ็กซี่สุดๆ สำหรับนางร้ายสาวสุดแซ่บ แอริน ยุกตะทัต หลังเลิกรากับแฟนหนุ่ม นาฑี โอสถานุเคราะห์ มาพักใหญ่ คว้าตัวมาถาม เรื่องหัวใจว่าช่วงนี้เป็นยังไงบ้าง?,ยิ่งสวยเซ็กซี่ขึ้นมากขึ้นเมื่อยิ่งโสด สำหรับนางร้ายสาวแอริน ยุกตะทัต ที่จําแนกตัวตนเป็นคนสุดแซ่บ หลังจากที่พร้อมที่จะละแฟนหนุ่ม นาฑี โอสถานุเคราะห์เท่านั้น ที่มาคว้ามาทักทายและถามเรื่องปัญหาใจของเธอในช่วงเวลานี้ว่าเป็นอย่างไรบ้าง?
12,ตำรวจ กก.สส.เมืองคอน วางแผนจับ ส.ต.ท. ร่วมกับพวกอีก 2 คน ใช้ปืนเอ็ม 16 และ 9 มม. บุกอุ้มหนุ่มวัย 28 จากบ้านพักที่เมืองคอนกลางดึก พาขัง ทวงหนี้ 8 หมื่นบาท ,ตำรวจในเขตห้าวัดของเมืองคอนได้ระบุการเตรียมการในการจับกุมคุณสกุลที่ร่วมลี้ภัยกับผู้คนอื่น 2 คน โดยใช้ปืนรุ่น M16 และ 9 มม. พวกเขาจีบคนหนุ่มอายุ 28 ปีจากที่อยู่อาศัยในเมืองคอนศูนย์เวลากลางคืน และทำการกักขังเพื่อเรียกร้องหนี้เงิน 8 หมื่นบาท
13,จบครึ่งแรก ยูเครน กับ โปแลนด์ เปิดเกมแลกกันอย่างสนุก แต่จบสกอร์กันไม่คม ทำให้ยังไม่มีประตูเกิด ยังเสมอกันอยู่ 0-0 ในศึกยูโร 2016 นัดสุดท้าย กลุ่มซี,แข่งครึ่งแรก ทีมชาติยูเครนและโปแลนด์เริ่มการแข่งขันอย่างตื่นเต้น แต่แม้จะมีการแลกเปลี่ยนลูกฟุตบอลอย่างสนุกสนาน แต่สกอร์ยังคงที่เสมอกันอยู่ที่ 0-0 ในการแข่งขันยูโร 2016 ในนัดสุดท้ายของกลุ่มซี
14, ปลัดกระทรวงทรัพยากรธรรมชาติยืนยันช่วยเหลือครอบครัว เจ้าหน้าที่หน่วยดับไฟป่าที่เสียชีวิตจากอุบัติเหตุรถตกเหวระหว่างเดินทางไปช่วยดับไฟ ในพื้นที่พักพิงผู้หนีภัยการสู้รบบ้านแม่สุรินทร์ จังหวัดแม่ฮ่องสอน ขณะที่ผู้ไร้ที่อยู่อาศัย ภายในพื้นที่พักพิงฯ มีความเป็นอยู่ยากลำบาก และ ต้องผจญกับอากาศที่หนาวเย็น,ปลัดกระทรวงทรัพยากรธรรมชาติยืนยันการช่วยเหลือครอบครัวของเจ้าหน้าที่หน่วยดับไฟป่าที่เสียชีวิตจากอุบัติเหตุรถตกเหวระหว่างการเดินทางไปช่วยดับไฟในพื้นที่พักพิงของผู้ซึ่งอยู่ในสถานการณ์ฉุกเฉินที่บ้านแม่สุรินทร์ในจังหวัดแม่ฮ่องสอน ในขณะที่ผู้อยู่อาศัยในพื้นที่พักพิงฯ มีอาการลำบากและต้องเผชิญกับอากาศหนาวเย็นอย่างลำบากเช่นกัน
15,เกิดเหตุรถตักล้อยาง ทับร่างสาวใหญ่วัย 54 ปีดับคาที่ ขณะทำงานตักเศษแก้วอยู่ภายในโรงงาน ด้านคนขับวัย 40 ปี เผยมองไม่เห็นขณะถอยหลังทำให้เกิดอุบัติเหตุสลด,มีเหตุเกิดรถตักล้อยางทับร่างสาววัย 54 ปีเจ็บคาที่เกิดขึ้นในขณะที่เธอกำลังทำงานตักเศษแก้วภายในโรงงาน คนขับรถหนุ่มวัย 40 ปีก็กลับหลังแล้วไม่เห็นเกิดอุบัติเหตุที่ทำให้ตกลดลง
16, เจ้าหน้าที่ฝ่ายปกครองอำเภอคุระบุรี จังหวัดพังงา จับชาวโรฮิงญาเกือบ 50 คน หลังพบลักลอบเข้าไทยทางเรือประมงบริเวณเกาะปลิง โดยที่ผ่านมาพบข้อมูลว่ามีเจ้าหน้าที่รัฐรู้เห็นกับการหลบหนีเข้าประเทศ,เจ้าหน้าที่ฝ่ายปกครองอำเภอคุระบุรี จังหวัดพังงา ได้จับกุมชาวโรฮิงญาสามสิบห้าคน หลังพบพวกเขาเข้ามาในประเทศไทยลับๆโดยใช้เรือประมงเพื่อเดินทางมายังเกาะปลิง ก่อนนี้ก็มีข้อมูลว่าเจ้าหน้าที่รัฐได้มองเห็นการหลบหนีของพวกเขาเพื่อเข้ามาในประเทศนี้
18,สุโขทัย เอฟซี ยังคงหาฟอร์มเก่งไม่เจอหลังพ่าย สุพรรณบุรี เอฟซี ไปอย่างน่าเสียดาย 2-3 แอดเมียร์ อโดรวิช แข้งคนเก่งของเจ้าถิ่นซัดจุดโทษติดเซฟนายด่านทีมเยือน,สุโขทัย เอฟซี ยังคงค้นหาฟอร์มที่ดีอยู่หลังพ่าย สุพรรณบุรี เอฟซี เสียใจมากที่ได้ทำผลงานไม่ดี 2-3 แต้ม อโดรวิช นักเตะที่เก่งของทีมเจ้าถิ่นได้ยิงจุดโทษและบันทึกเสียงยินดีเมื่อทีมเยือน.
19,จ่าทหารบกวัย 51 ปี พาภรรยากลับจากดูสวน ระหว่างทางรถเสียหลักชนต้นไม้ริมถนนสายสลกบาตร์-บ่อถ้ำ จ.กำแพงเพชร รถพังยับ ร่างอัดก๊อบปี้ทั้งคู่ พบภรรยาเสียชีวิต ส่วนเจ้าตัวขาหัก 2 ข้าง อาการสาหัส,จ่าทหารบกวัย 51 ปี พาภรรยากลับมาจากการเที่ยวสวน ตรงกลางทางรถมีเครื่องยนต์ขัดข้องเจอต้นไม้ที่หมุนสลักบาตร์-บ่อถ้ำ จังหวัดกำแพงเพชร รถเสียหลักชน ทั้งคู่ต้องรับการอัดก๊อบปี้ที่ร่างกาย ภรรยาเสียชีวิต ส่วนจ่าทหารบกวัยมีอาการขาหัก 2 ข้าง เบื้องต้น
20,รวบแก๊งสกิมเมอร์ชาวยูเครน ตระเวนใช้บัตรเอทีเอ็มกดเงินผู้ตกเป็นเหยื่อเบื้องต้น 22 ราย ล้วนอยู่ต่างจังหวัด สืบสวนสน.ร่มเกล้า แกะรอยตามจับได้ที่ จ.สมุทรปราการ คาดติดเครื่องและกล้องขโมยข้อมูลไว้ใน จ.ลำปาง,รวบแก๊งคนโกงบัตร ATM ชาวยูเครนที่ตกเป็นเหยื่อเบื้องต้นทั้งหมด 22 คน ทุกคนอยู่ในจังหวัดต่างๆ ถูกติดตามและจับได้ที่จังหวัดสมุทรปราการ พวกเขาสงสัยว่ามีอุปกรณ์และกล้องที่ใช้ขโมยข้อมูลติดตั้งไว้ในจังหวัดลำปาง
21,พล.อ.ดาว์พงษ์ รัตนสุวรรณ รมว.ศึกษาธิการ กล่าวถึงแนวคิดที่จะให้ผู้จบปริญญาตรีสายวิศวกรรมศาสตร์วิทยาศาสตร์และเทคโนโลยี สามารถสอบแข่งขันเพื่อบรรจุเข้ารับราชการครูและบุคลากรทางการศึกษา,พล.อ.ดาว์พงษ์ รัตนสุวรรณ รมว.ศึกษาธิการ กล่าวถึงแนวคิดที่จะให้ผู้จบปริญญาตรีสายวิศวกรรมศาสตร์วิทยาศาสตร์และเทคโนโลยี มีโอกาสที่จะสอบแข่งขันเพื่อเข้ารับการตำแหน่งครูและบุคลากรทางการศึกษาเป็นลำดับภารกิจที่สำคัญ
22,ผบช.น. นำ สืบ บก.น.5 ทลายโกดังปลูกกัญชาสายพันธุ์ต่างประเทศขนาดใหญ่ เพื่อส่งขายผ่านออนไลน์ข้ามชาติ ย่านประเวศ พบของกลางมากกว่า 1 พันต้น มูลค่าหลายล้านบาท โดยผู้ต้องหาสัญชาติจีน ฮ่องกง รวม 4 ,ผบช.นำ สืบ บก.น.5 ทลายโกดังปลูกกัญชาสายพันธุ์ต่างประเทศขนาดใหญ่ เพื่อส่งขายผ่านออนไลน์ข้ามชาติ ย่านประเวศ พบของกลางมากกว่า 1 พันต้น มูลค่าหลายล้านบาท โดยผู้ต้องหาสัญชาติจีน ฮ่องกง รวม 4 ราย
23,ถึงแม้เรื่องจะยุติไปนานแล้ว แต่ยังมีเสียงวิจารณ์อย่างต่อเนื่อง เกี่ยวกับองค์กรอิสระในยุค คสช. บางองค์กรถูกอุ้มให้อยู่ในตำแหน่งต่อไปจนกว่าจะครบวาระ,ถึงแม้จะมีเวลาผ่านไปนานแล้ว แต่ยังคงมีการวิจารณ์อย่างต่อเนื่องเกี่ยวกับองค์กรอิสระในวงการการเมือง บางองค์กรเองก็ถูกครอบครองให้อยู่ในตำแหน่งต่อไปจนกระทั่งเข้าถึงระยะเวลาที่ได้รับมอบหมาย
24,เบตง ตชด.445 ร่วม ตร.มาเลเซีย จับตัวชาวมาเลเซีย หนีคดีลักทรัพย์มูลค่ากว่า10 ล้านบาท มาซ่อนตัวที่ อ.เบตง ส่งตัวกลับไปดำเนินคดี ,"เบตง ตชด. 445 ร่วมกับตำรวจมาเลเซียจับชาวมาเลเซียผู้หนีตัวจากคดีลักทรัพย์มูลค่ามากกว่า 10 ล้านบาทมาซ่อนตัวในเขตอำเภอเบตง และส่งตัวกลับไปเพื่อดำเนินคดี """
25,รองผู้อำนวยการใหญ่ องค์การอนามัยโลก ย้ำไทยเป็นหนึ่งในประเทศที่มีระบบหลักประกันสุขภาพที่ดีที่สุดในโลก ด้านผู้ป่วยโรคไตเชื่อมั่นวิธีการล้างไตผ่านทางหน้าช่องท้อง โดยใช้สิทธิบัตรทอง 30 บาททำให้มีชีวิตรอด,รองผู้อำนวยการใหญ่ องค์กรอนามัยโลก ย้ำถึงความสำคัญของประเทศไทยที่มีระบบประกันสุขภาพที่ดีที่สุดในโลก ในเรื่องของการรักษาผู้ป่วยโรคไต การล้างไตผ่านทางหน้าช่องท้องในวิธีการนั้นเป็นวิธีที่เชื่อถือได้อย่างแน่นอน และสิทธิบัตรทองราคา 30 บาทเป็นสิทธิที่สำคัญที่ทำให้คนมีชีวิตอยู่รอดได้อย่างมั่นใจ
26,เมื่อเวลา 14.00 น. วันที่ 12 พ.ย. ที่ห้องโถงศาลากลางจังหวัดแม่ฮ่องสอน นายพิพัฒน์ เอกภาพันธ์ ผวจ. แม่ฮ่องสอน พร้อมด้วยส่วนราชการที่เกี่ยวข้องร่วมแถลงข่าวการเตรียมพร้อมจัดกิจกรรมปั่นจักรยานเฉลิมพระเกียรติ,เมื่อเวลา 2 โมงเที่ยงวันที่ 12 พฤศจิกายนที่ห้องโถงศาลากลางจังหวัดแม่ฮ่องสอน นายพิพัฒน์ เอกภาพันธ์ พร้อมกับส่วนราชการที่เกี่ยวข้อง ร่วมประกาศข่าวเรื่องการเตรียมพร้อมในการจัดกิจกรรมปั่นจักรยานเพื่อเฉลิมพระเกียรติ
27,จักรทิพย์ ยอมรับ พฤติกรรมคนร้ายฆ่ายกครัว 8 ศพที่กระบี่ คล้ายการก่อเหตุของกลุ่มก่อความไม่สงบชายแดนใต้ พบมีการปล้นรถและอาวุธปืนของผู้เสียชีวิต เผยยังไม่ตัดประเด็นใดทิ้ง เตรียมลงพื้นที่เร่งรัดคดีอีกครั้ง ,จักรทิพย์ยอมรับพฤติกรรมคนร้ายฆ่ายกครัว 8 ศพที่กระบี่ ที่คล้ายกับการก่อเหตุของกลุ่มก่อความไม่สงบชายแดนใต้ พบว่ามีการปล้นรถและใช้อาวุธปืนของผู้เสียชีวิต ซึ่งยังไม่ได้ตัดประเด็นใดๆ และกำลังจะเร่งรัดนำคดีไปสู่การพิจารณาอีกครั้ง
28, หลังจากที่ประกาศลาออกจากตำแหน่งประธานสมาพันธ์ฟุตบอลบราซิล ล่าสุด ริคาร์โด้ เตเซร่า ได้หันหลังให้วงการฟุตบอลแบบเด็ดขาดด้วยการลาออกจากบอร์ดบริหารฟีฟ่า,หลังที่ประกาศลาออกจากตำแหน่งประธานสมาคมฟุตบอลบราซิลให้ล่าสุด ริคาร์โด้ เตเซร่า ได้เปลี่ยนแปลงวงการฟุตบอลอย่างไม่ซื่อตรงด้วยการลาออกจากกรรมการบริหารฟีฟ่า
29,พล.อ.ประยุทธ์ จันทร์โอชา นายกรัฐมนตรี ได้สั่งการให้องค์การตลาดเพื่อเกษตรกร (อ.ต.ก.) ซึ่งเป็นหน่วยงานที่รัฐมอบหมายให้เป็นผู้จัดเก็บข้าว รวบรวมเอกสาร เพื่อยื่นฟ้องผู้กระทำผิดที่ทำให้ข้าวรัฐ,พล.อ.ประยุทธ์ จันทร์โอชา บัญชาการคลัง ได้สั่งให้องค์การตลาดเพื่อเกษตรกร (อ.ต.ก.) ซึ่งเป็นหน่วยงานที่ได้รับมอบหมายจากรัฐให้เป็นผู้รวบรวมเอกสาร เพื่อยื่นฟ้องผู้กระทำผิดที่ส่งผลให้ข้าวของรัฐได้รับความเสียหาย
30,ซิโมนา ฮาเล็ป เกือบแย่ในเซตแรก ดีที่อาศัยความเก๋าพลิกกลับมาชนะได้ ก่อนจะไล่บดเอาชนะนักหวดดาวรุ่งไปได้ 2-0 เซต ตบเท้าเข้ารอบ 2 ศึกออสเตรเลียน โอเพ่น 2018 ตามคาด ,ซิโมนา ฮาเล็ป เกือบค่อยในเซตแรก กรุณาอีกไม่นานพวกเขาจะกลับมาชนะ จากนั้นพวกเขาสามารถเอาชนะนักเทนนิส 2-0 เซต และเข้ารอบ 2 ของงานแข่งขันออสเตรเลียน โอเพ่น 2018 ตามที่คาดไว้
31,นักวิชาการชี้รณรงค์ประหยัดไฟฟ้าล้มเหลว เสนอรัฐออกกฎหมายกำหนดแบบอาคารประหยัดพลังงาน ขณะที่ การไฟฟ้าฝ่ายผลิตแห่งประเทศไทยชี้ พฤติกรรมใช้ไฟฟ้าในปริมาณมากของประชาชน อาจกระทบต้นทุนค่าไฟฟ้าพุ่ง ,วิทยากรที่เน้นให้ประหยัดไฟฟ้าล้มเหลว แนะนำให้รัฐบาลออกกฎหมายเพื่อกำหนดมาตรฐานสำหรับอาคารประหยัดพลังงาน ในขณะเดียวกัน บริษัทผลิตไฟฟ้าของประเทศไทยเปิดเผยพฤติกรรมการใช้ไฟฟ้าของประชาชนในปริมาณที่มาก น่าจะมีผลกระทบต่อค่าไฟฟ้าที่เพิ่มขึ้น
32,วันนี้ (13 ก.ย.2560) เว็บไซต์ราชกิจจานุเบกษา เผยแพร่คําสั่งหัวหน้าคณะรักษาความสงบแห่งชาติ ที่ 40/2560 มาตรการรองรับเพื่อให้การดําเนินการเดินอากาศ เป็นไปตามมาตรฐานขององค์การการบินพลเรือนระหว่างประเทศ โดยมีรายละเอียดดังนี้,วันนี้ (13 กันยายน 2560) เว็บไซต์ราชกิจจานุเบกษาได้ประกาศคำสั่งหัวหน้าคณะรักษาความสงบแห่งชาติที่ 40/2560 เพื่อสนับสนุนการดำเนินการทางอากาศให้เป็นไปตามมาตรฐานขององค์การบินประชาชนระหว่างประเทศ โดยรายละเอียดต่อไปคือ...
33,มหาวิทยาลัยหอการค้าไทยประเมินการจับจ่ายช่วงเทศกาลตรุษจีนปีนี้คึกคักที่สุดในรอบ 10 ปี และจะมีเงินสะพัดสูงถึง 54927.16 ล้านบาท ,มหาวิทยาลัยหอการค้าไทยให้การประเมินการจ่ายเงินสำหรับเทศกาลตรุษจีนปีนี้ว่าเป็นอย่างมากในระยะเวลา 10 ปีและจะจ่ายเงินมากถึง 54927.16 ล้านบาท
34,วันนี้ (27 มิ.ย.2563) สำนักพระราชวัง ออกแถลงการณ์เรื่อง สมเด็จพระเจ้าน้องนางเธอ เจ้าฟ้าจุฬาภรณวลัยลักษณ์ อัครราชกุมารี กรมพระศรีสวางควัฒน วรขัตติยราชนารี เสด็จไปรับการถวายการตรวจพระอาการชาบริเวณพระกร (แขน) ขวา ณ โรงพยาบาลจุฬาภรณ ฉบับที่ 2 ความว่า,วันนี้ (27 มิถุนายน 2563) สำนักพระราชวังมี หมองสำคัญเรื่องพระฯ พระองค์พระเจ้าน้องนางเธอ เจ้าฟ้าจุฬาภรณวลัยลักษณ์ สงกรานต์อัพดวงดาบหนึ่ง ภายในการเยี่ยมชมแขนพระกรที่ทรงเจรจาตรวจสอบอยู่ที่โรงพยาบาลจุฬาภรณ์ ฉบับที่สอง มีความหมายว่า
35,สารพัดสารเพเหตุการณ์ที่เกิดขึ้นซ้ำแล้วซ้ำเล่าโดยโอกาสนี้ ทีมข่าวเฉพาะกิจไทยรัฐออนไลน์ ได้ยกทุกกระบวนท่าขนมาให้คนรักสวยรักงาม การันตีไม่ตกหลุมพราง หมอเถื่อน และ คลินิกลวงโลก แน่นอน!,ทีมข่าวเฉพาะกิจไทยรัฐออนไลน์ได้โพสต์เหตุการณ์ที่เกิดซ้ำๆ กันอีกครั้งว่าการโกหกของหมอซึ่งเป็นชื่อเสียงในสายเวชกรรมและศัลยแพทย์ปากแล้วห้ามตกอยู่ในสายตาของความงามและผู้ที่รักความงามอย่างแน่นอนไม่ว่าสิ่งใดจะต้องเป็นแบบนั้น!
36,กรมการแพทย์ชี้ มะเร็งต่อมน้ำเหลือง พบบ่อยในคนไทยทุกเพศทุกวัย พร้อมแนะหมั่นสังเกตตนเอง หากคลำพบต่อมน้ำเหลืองโต หรือมีอาการผิดปกติ ควรรีบไปพบแพทย์,กรมการแพทย์ประเทศไทยบอกว่ามะเร็งต่อมน้ำเหลืองพบบ่อยในคนไทยทุกเพศทุกวัย และในขณะเดียวกันขอแนะนำให้คนไทยทุกคนห่วงและตระหนักตนเอง ในกรณีที่คุณสังเกตเห็นว่าต่อมน้ำเหลืองในร่างกายของคุณโตขึ้นหรือมีอาการผิดปกติ ท่านควรกระทำการไปพบแพทย์โดยเร็วตอนนี้
37,ตรวจสอบสถานะเราไม่ทิ้งกัน กระทรวงการคลังงดโอนเงินเยียวยา 5000 บาท วันที่ 2-4 พ.ค.63 เนื่องจากเป็นวันหยุดราชการ ผู้ผ่านเกณฑ์เตรียมรับเงิน 10000 บาท 2 เดือนควบ,กระทรวงการคลังจะตรวจสอบสถานะของเราและหยุดการโอนเงินเยียวยา จำนวน 5000 บาท ในวันที่ 2-4 พฤษภาคม 2563 เนื่องจากวันนั้นเป็นวันหยุดราชการ ผู้ที่ผ่านเกณฑ์จะได้รับเงิน 10000 บาท ภายใน 2 เดือน
38,"สำนักงาน กสทช. เตรียมเสนอบอร์ด กสท. พิจารณาโทษปรับทางปกครอง อสมท กรณีโครงข่ายทีวีดิจิตอลในเขตกรุงเทพและปริมณฑลล่ม สูงสุดไม่เกิน 5 ล้านบาท และปรับรายวันอีกวันละไม่เกิน 100,000บาท","สำนักงาน กสทช. กำลังเตรียมเสนอให้บอร์ดแห่งกสทช. พิจารณากำหนดโทษทางปกครองในเรื่องของรายการโครงข่ายทีวีดิจิตอลในพื้นที่กรุงเทพและปริมณฑลที่พังลง โดยจำกัดที่ 5 ล้านบาทในการปรับโทษ และไม่เกิน 100,000 บาทต่อวันในการปรับรายวัน"
